"id_orcamento","dotacao_atual","empenhado","liquidado","pago","fk_acao","fk_programa","fk_unidade","fk_ano"
"339","90699455","86701211","25255620","25255620","78","10","1","14"
"340","34162192","31628538","17227880","16793505","87","10","1","14"
"341","28253078","26521060","25199516","24985413","88","10","1","14"
"342","38647000","35781404","21475947","21453401","89","10","1","14"
"343","87705598","86881697","37325746","37042210","90","10","1","14"
"344","47000","40252","40252","40252","56","11","1","14"
"345","3951964","3633789","3633789","3579360","98","11","1","14"
"346","16039629","14368812","9399114","9344923","27","11","1","14"
"347","53432","48723","42091","42091","99","11","1","14"
"348","8400","3857","3857","3857","100","11","1","14"
"349","22800","18618","18618","18618","101","11","1","14"
"350","239000","227998","227998","227998","102","11","1","14"
"351","318678","294080","294080","294080","23","6","2","15"
"352","90699455","56192599","896949","896949","63","10","2","15"
"353","33160192","31687528","15119747","14225841","87","10","2","15"
"354","28253078","28561132","13362553","13362553","88","10","2","15"
"355","35472000","31127742","13611209","13496073","89","10","2","15"
"356","91882598","83689796","45778590","44332792","90","10","2","15"
"357","20000","0","0","0","103","11","2","15"
"358","61000","46169","46169","46169","56","11","2","15"
"359","4396694","4129884","4129884","4129884","98","11","2","15"
"360","16039629","14450738","8004785","7975805","27","11","2","15"
"361","77796","76136","76136","76136","99","11","2","15"
"362","7200","4204","4204","4204","100","11","2","15"
"363","30000","29024","29024","29024","101","11","2","15"
"364","260000","246970","246970","246970","102","11","2","15"
"365","388500","363494","363494","363494","23","6","2","16"
"366","10000","0","0","0","104","12","2","16"
"367","15000000","14548967","1417154","1031500","63","10","2","16"
"368","32074571","30006983","14996242","12431600","87","10","2","16"
"369","39953078","37264765","867458","867272","88","10","2","16"
"370","50309265","43540503","13237200","12945831","89","10","2","16"
"371","70894698","57374013","19625811","16641083","90","10","2","16"
"372","17720000","16493000","0","0","105","10","2","16"
"373","21204","0","0","0","103","11","2","16"
"374","75000","57734","57734","57734","56","11","2","16"
"375","4439647","4220099","4220099","4220099","98","11","2","16"
"376","18116113","16845204","9433084","9164139","27","11","2","16"
"377","122520","110757","83678","83678","99","11","2","16"
"378","6000","3783","3783","3783","100","11","2","16"
"379","33600","28128","28128","28128","101","11","2","16"
"380","264000","240263","240263","240263","102","11","2","16"
"381","397132","377903","377903","377903","106","6","2","17"
"382","10000","7751","7751","7751","104","12","2","17"
"383","7506490","7506490","898862","898862","63","10","2","17"
"384","33257252","31400555","9517739","9305263","107","10","2","17"
"385","25812000","14223901","8851786","8851304","89","10","2","17"
"386","46762638","42839303","26088632","26088632","108","10","2","17"
"387","17318872","14617233","264340","264340","105","10","2","17"
"388","21204","0","0","0","103","11","2","17"
"389","1108000","1102640","1102640","1102640","56","11","2","17"
"390","7112714","6676597","6676597","6676597","109","11","2","17"
"391","106269","92988","92988","92988","110","11","2","17"
"392","13898178","10615683","7794737","7794737","27","11","2","17"
"393","96000","74931","74931","74931","99","11","2","17"
"394","27393","23002","23002","23002","100","11","2","17"
"395","43360","41154","41154","41154","101","11","2","17"
"396","464542","426206","426206","426206","102","11","2","17"
"397","432022","392874","392874","392874","106","6","2","18"
"398","8140","0","0","0","111","12","2","18"
"399","3007204","3007204","2097760","2097760","63","10","2","18"
"400","37605870","37490330","8774385","8622596","107","10","2","18"
"401","8728008","7845737","4129533","4116687","89","10","2","18"
"402","101442937","89415237","52151082","46653666","112","10","2","18"
"403","2000000","0","0","0","113","10","2","18"
"404","21204","0","0","0","103","13","2","18"
"405","1218406","1198554","1198554","1198554","56","13","2","18"
"406","12111558","11910042","11910042","11910042","109","13","2","18"
"407","97889","60011","60011","60011","110","13","2","18"
"408","18600770","15815921","8405987","8389296","27","13","2","18"
"409","170843","163615","139688","139688","99","13","2","18"
"410","74448","60483","60483","60483","100","13","2","18"
"411","64736","59665","59665","59665","101","13","2","18"
"412","643928","570246","570246","570246","102","13","2","18"
"413","455000","398085","398085","367530","114","6","2","19"
"414","8909","8909","8909","8909","111","12","2","19"
"415","3500000","3499934","175268","158302","63","10","2","19"
"416","41979679","41930935","16071318","15132260","107","10","2","19"
"417","17430928","17319455","13193418","12707207","89","10","2","19"
"418","78163862","78160256","56397280","55443513","112","10","2","19"
"419","4384481","4384481","0","0","113","10","2","19"
"420","1467067","1190779","1190779","1190779","56","13","2","19"
"421","12366382","11978177","11978177","11110864","109","13","2","19"
"422","742955","628457","628457","575915","115","13","2","19"
"423","133635","33959","33959","30869","110","13","2","19"
"424","18571349","18260334","10643647","10636461","27","13","2","19"
"425","129668","129474","127526","122049","99","13","2","19"
"426","451925","409030","409030","373343","114","6","2","20"
"427","11400","11400","11400","11400","111","12","2","20"
"428","512891","297673","0","0","63","10","2","20"
"429","38321136","38222532","18976274","18070744","107","10","2","20"
"430","14394288","14203318","10232122","10202775","89","10","2","20"
"431","72470708","72456317","50785399","50784725","112","10","2","20"
"432","6164800","6164800","0","0","113","10","2","20"
"433","1257009","1234242","1234242","1234242","56","13","2","20"
"434","13258347","12278065","12278065","11399480","116","13","2","20"
"435","692536","630267","630267","576693","115","13","2","20"
"436","155325","17572","17572","14572","110","13","2","20"
"437","16349971","15457530","7797382","7779236","27","13","2","20"
"438","185138","145567","143918","138211","99","13","2","20"
